Elements,Time,Distribution
10700,166435,ASCENDING
10700,166002,DESCENDING
10700,1948,ASHAPE
10700,2339,VSHAPE
10800,1651,UNIFORM
10800,631,CONSTANT
10800,176051,ASCENDING
10800,169160,DESCENDING
10800,1930,ASHAPE
10800,2047,VSHAPE
10900,1718,UNIFORM
10900,608,CONSTANT
10900,173332,ASCENDING
10900,172321,DESCENDING
10900,1959,ASHAPE
10900,2061,VSHAPE
11000,1743,UNIFORM
11000,615,CONSTANT
11000,175771,ASCENDING
11000,182969,DESCENDING
11000,1970,ASHAPE
11000,2097,VSHAPE
11100,1793,UNIFORM
11100,675,CONSTANT
11100,181997,ASCENDING
11100,178695,DESCENDING
11100,1982,ASHAPE
11100,2083,VSHAPE
11200,1775,UNIFORM
11200,639,CONSTANT
11200,182555,ASCENDING
11200,183165,DESCENDING
11200,2041,ASHAPE
11200,2076,VSHAPE
11300,1892,UNIFORM
11300,681,CONSTANT
11300,187871,ASCENDING
11300,184669,DESCENDING
11300,1977,ASHAPE
11300,2093,VSHAPE
11400,1828,UNIFORM
11400,652,CONSTANT
11400,189224,ASCENDING
11400,187842,DESCENDING
11400,2023,ASHAPE
11400,2009,VSHAPE
11500,1988,UNIFORM
11500,646,CONSTANT
11500,192363,ASCENDING
11500,192109,DESCENDING
11500,2009,ASHAPE
11500,2073,VSHAPE
11600,1839,UNIFORM
11600,653,CONSTANT
11600,195579,ASCENDING
11600,195209,DESCENDING
11600,2054,ASHAPE
11600,2144,VSHAPE
11700,1852,UNIFORM
11700,686,CONSTANT
11700,199209,ASCENDING
11700,198494,DESCENDING
11700,2133,ASHAPE
11700,2082,VSHAPE
11800,1911,UNIFORM
11800,930,CONSTANT
11800,205827,ASCENDING
11800,201783,DESCENDING
11800,2083,ASHAPE
11800,2121,VSHAPE
11900,1892,UNIFORM
11900,746,CONSTANT
11900,205860,ASCENDING
11900,205188,DESCENDING
11900,2091,ASHAPE
11900,2210,VSHAPE
12000,1899,UNIFORM
12000,682,CONSTANT
12000,209384,ASCENDING
12000,208947,DESCENDING
12000,2111,ASHAPE
12000,2200,VSHAPE
12100,1917,UNIFORM
12100,686,CONSTANT
12100,212641,ASCENDING
12100,212234,DESCENDING
12100,2271,ASHAPE
12100,2253,VSHAPE
12200,1927,UNIFORM
12200,700,CONSTANT
12200,216386,ASCENDING
12200,215741,DESCENDING
12200,2342,ASHAPE
12200,2231,VSHAPE
12300,1953,UNIFORM
12300,738,CONSTANT
12300,219808,ASCENDING
12300,222065,DESCENDING
12300,2297,ASHAPE
12300,2356,VSHAPE
12400,2023,UNIFORM
12400,701,CONSTANT
12400,223113,ASCENDING
12400,222853,DESCENDING
12400,2206,ASHAPE
12400,2317,VSHAPE
12500,1991,UNIFORM
12500,858,CONSTANT
12500,228692,ASCENDING
12500,225861,DESCENDING
12500,2235,ASHAPE
12500,2281,VSHAPE
12600,2011,UNIFORM
12600,808,CONSTANT
12600,230577,ASCENDING
12600,230300,DESCENDING
12600,2252,ASHAPE
12600,2310,VSHAPE
12700,2278,UNIFORM
12700,809,CONSTANT
12700,237831,ASCENDING
12700,233584,DESCENDING
12700,2293,ASHAPE
12700,2365,VSHAPE
12800,1995,UNIFORM
12800,721,CONSTANT
12800,237255,ASCENDING
12800,237451,DESCENDING
12800,2335,ASHAPE
12800,2522,VSHAPE
12900,2073,UNIFORM
12900,729,CONSTANT
12900,242878,ASCENDING
12900,243242,DESCENDING
12900,2267,ASHAPE
12900,2582,VSHAPE
13000,2057,UNIFORM
13000,736,CONSTANT
13000,245476,ASCENDING
13000,244280,DESCENDING
13000,2391,ASHAPE
13000,2457,VSHAPE
13100,2063,UNIFORM
13100,744,CONSTANT
13100,249487,ASCENDING
13100,249374,DESCENDING
13100,2361,ASHAPE
13100,2516,VSHAPE
13200,2068,UNIFORM
13200,748,CONSTANT
13200,254859,ASCENDING
13200,257919,DESCENDING
13200,2485,ASHAPE
13200,2564,VSHAPE
13300,2129,UNIFORM
13300,753,CONSTANT
13300,256695,ASCENDING
13300,255899,DESCENDING
13300,2459,ASHAPE
13300,2556,VSHAPE
13400,2135,UNIFORM
13400,802,CONSTANT
13400,261298,ASCENDING
13400,259838,DESCENDING
13400,2446,ASHAPE
13400,2477,VSHAPE
13500,2175,UNIFORM
13500,774,CONSTANT
13500,267840,ASCENDING
13500,263339,DESCENDING
13500,2468,ASHAPE
13500,2525,VSHAPE
13600,2326,UNIFORM
13600,782,CONSTANT
13600,268340,ASCENDING
13600,267743,DESCENDING
13600,2644,ASHAPE
13600,2551,VSHAPE
13700,2249,UNIFORM
13700,825,CONSTANT
13700,272003,ASCENDING
13700,270872,DESCENDING
13700,2486,ASHAPE
13700,2716,VSHAPE
13800,2364,UNIFORM
13800,794,CONSTANT
13800,277237,ASCENDING
13800,275270,DESCENDING
13800,2548,ASHAPE
13800,2674,VSHAPE
13900,2279,UNIFORM
13900,805,CONSTANT
13900,280770,ASCENDING
13900,279215,DESCENDING
13900,2592,ASHAPE
13900,2572,VSHAPE
14000,2251,UNIFORM
14000,962,CONSTANT
14000,284454,ASCENDING
14000,284312,DESCENDING
14000,2637,ASHAPE
14000,2625,VSHAPE
14100,2221,UNIFORM
14100,850,CONSTANT
14100,289601,ASCENDING
14100,288838,DESCENDING
14100,2706,ASHAPE
14100,2811,VSHAPE
14200,2283,UNIFORM
14200,822,CONSTANT
14200,292123,ASCENDING
14200,291393,DESCENDING
14200,2613,ASHAPE
14200,2699,VSHAPE
14300,2342,UNIFORM
14300,824,CONSTANT
14300,298507,ASCENDING
14300,295520,DESCENDING
14300,2647,ASHAPE
14300,2783,VSHAPE
14400,2348,UNIFORM
14400,892,CONSTANT
14400,300225,ASCENDING
14400,300041,DESCENDING
14400,2851,ASHAPE
14400,3068,VSHAPE
14500,2337,UNIFORM
14500,935,CONSTANT
14500,305214,ASCENDING
14500,303758,DESCENDING
14500,2714,ASHAPE
14500,2739,VSHAPE
14600,2394,UNIFORM
14600,842,CONSTANT
14600,308758,ASCENDING
14600,307821,DESCENDING
14600,2592,ASHAPE
14600,2790,VSHAPE
14700,2401,UNIFORM
14700,889,CONSTANT
14700,312909,ASCENDING
14700,314084,DESCENDING
14700,2633,ASHAPE
14700,2780,VSHAPE
14800,2366,UNIFORM
14800,851,CONSTANT
14800,317020,ASCENDING
14800,316793,DESCENDING
14800,2672,ASHAPE
14800,2823,VSHAPE
14900,2412,UNIFORM
14900,861,CONSTANT
14900,321886,ASCENDING
14900,321474,DESCENDING
14900,2796,ASHAPE
14900,2965,VSHAPE
15000,2366,UNIFORM
15000,974,CONSTANT
15000,325935,ASCENDING
15000,324823,DESCENDING
15000,2777,ASHAPE
15000,2900,VSHAPE
15100,2415,UNIFORM
15100,916,CONSTANT
15100,329800,ASCENDING
15100,329201,DESCENDING
15100,2794,ASHAPE
15100,2948,VSHAPE
15200,2458,UNIFORM
15200,919,CONSTANT
15200,336854,ASCENDING
15200,333836,DESCENDING
15200,2850,ASHAPE
15200,3021,VSHAPE
15300,2448,UNIFORM
15300,892,CONSTANT
15300,338763,ASCENDING
15300,341219,DESCENDING
15300,2792,ASHAPE
15300,2819,VSHAPE
15400,2484,UNIFORM
15400,896,CONSTANT
