Elements,Time,Distribution
13700,485,ASHAPE
13700,455,VSHAPE
13800,530,UNIFORM
13800,222,CONSTANT
13800,472,ASCENDING
13800,385,DESCENDING
13800,458,ASHAPE
13800,424,VSHAPE
13900,533,UNIFORM
13900,224,CONSTANT
13900,497,ASCENDING
13900,388,DESCENDING
13900,450,ASHAPE
13900,428,VSHAPE
14000,571,UNIFORM
14000,225,CONSTANT
14000,478,ASCENDING
14000,390,DESCENDING
14000,453,ASHAPE
14000,430,VSHAPE
14100,566,UNIFORM
14100,241,CONSTANT
14100,485,ASCENDING
14100,394,DESCENDING
14100,485,ASHAPE
14100,435,VSHAPE
14200,582,UNIFORM
14200,251,CONSTANT
14200,516,ASCENDING
14200,413,DESCENDING
14200,459,ASHAPE
14200,437,VSHAPE
14300,550,UNIFORM
14300,229,CONSTANT
14300,514,ASCENDING
14300,536,DESCENDING
14300,498,ASHAPE
14300,440,VSHAPE
14400,554,UNIFORM
14400,233,CONSTANT
14400,492,ASCENDING
14400,405,DESCENDING
14400,468,ASHAPE
14400,442,VSHAPE
14500,704,UNIFORM
14500,233,CONSTANT
14500,495,ASCENDING
14500,413,DESCENDING
14500,468,ASHAPE
14500,446,VSHAPE
14600,627,UNIFORM
14600,235,CONSTANT
14600,511,ASCENDING
14600,450,DESCENDING
14600,473,ASHAPE
14600,453,VSHAPE
14700,562,UNIFORM
14700,236,CONSTANT
14700,501,ASCENDING
14700,409,DESCENDING
14700,507,ASHAPE
14700,452,VSHAPE
14800,570,UNIFORM
14800,238,CONSTANT
14800,506,ASCENDING
14800,413,DESCENDING
14800,502,ASHAPE
14800,458,VSHAPE
14900,570,UNIFORM
14900,239,CONSTANT
14900,508,ASCENDING
14900,416,DESCENDING
14900,531,ASHAPE
14900,458,VSHAPE
15000,573,UNIFORM
15000,242,CONSTANT
15000,518,ASCENDING
15000,449,DESCENDING
15000,487,ASHAPE
15000,465,VSHAPE
15100,600,UNIFORM
15100,251,CONSTANT
15100,515,ASCENDING
15100,483,DESCENDING
15100,500,ASHAPE
15100,477,VSHAPE
15200,582,UNIFORM
15200,247,CONSTANT
15200,519,ASCENDING
15200,459,DESCENDING
15200,492,ASHAPE
15200,469,VSHAPE
15300,619,UNIFORM
15300,248,CONSTANT
15300,528,ASCENDING
15300,427,DESCENDING
15300,558,ASHAPE
15300,471,VSHAPE
15400,661,UNIFORM
15400,267,CONSTANT
15400,526,ASCENDING
15400,429,DESCENDING
15400,501,ASHAPE
15400,474,VSHAPE
15500,594,UNIFORM
15500,250,CONSTANT
15500,538,ASCENDING
15500,481,DESCENDING
15500,506,ASHAPE
15500,476,VSHAPE
15600,701,UNIFORM
15600,252,CONSTANT
15600,536,ASCENDING
15600,435,DESCENDING
15600,508,ASHAPE
15600,481,VSHAPE
15700,601,UNIFORM
15700,254,CONSTANT
15700,568,ASCENDING
15700,443,DESCENDING
15700,520,ASHAPE
15700,486,VSHAPE
15800,642,UNIFORM
15800,255,CONSTANT
15800,539,ASCENDING
15800,440,DESCENDING
15800,512,ASHAPE
15800,485,VSHAPE
15900,609,UNIFORM
15900,255,CONSTANT
15900,567,ASCENDING
15900,444,DESCENDING
15900,515,ASHAPE
15900,533,VSHAPE
16000,616,UNIFORM
16000,257,CONSTANT
16000,545,ASCENDING
16000,477,DESCENDING
16000,518,ASHAPE
16000,492,VSHAPE
16100,617,UNIFORM
16100,259,CONSTANT
16100,550,ASCENDING
16100,449,DESCENDING
16100,522,ASHAPE
16100,672,VSHAPE
16200,622,UNIFORM
16200,262,CONSTANT
